2023-04-02 00:06:56,898 ERROR [root] [test_login.py | test_login:43] - 断言错误，错误信息：'验证码不能为空1!' != '验证码不能为空!'
- 验证码不能为空1!
?        -
+ 验证码不能为空!

2023-04-02 00:06:56,899 INFO [root] [base_page.py | base_get_img:61] - 断言错误，正在进行截图操作!
2023-04-02 00:06:57,299 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
2023-04-02 00:06:57,307 INFO [root] [base_page.py | base_input:36] - 正在对[name:username]输入框进行清空
2023-04-02 00:06:57,328 INFO [root] [base_page.py | base_input:38] - 正在对[name:username]输入框输入内容：admin
2023-04-02 00:06:57,371 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:password]
2023-04-02 00:06:57,380 INFO [root] [base_page.py | base_input:36] - 正在对[name:password]输入框进行清空
2023-04-02 00:06:57,405 INFO [root] [base_page.py | base_input:38] - 正在对[name:password]输入框输入内容：admin@123
2023-04-02 00:06:57,460 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:vertify]
2023-04-02 00:06:57,468 INFO [root] [base_page.py | base_input:36] - 正在对[name:vertify]输入框进行清空
2023-04-02 00:06:57,487 INFO [root] [base_page.py | base_input:38] - 正在对[name:vertify]输入框输入内容：8888
2023-04-02 00:06:57,531 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://span/input[@value='登录']]元素
2023-04-02 00:06:57,532 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://span/input[@value='登录']]
2023-04-02 00:06:58,266 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:.manager]
2023-04-02 00:06:58,299 INFO [root] [base_page.py | base_text:47] - 正在获取('css selector', '.manager')元素文本：ThinkPHP5框架开发
admin
管理员
2023-04-02 00:07:04,621 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="212563f2613a7646441b5ca63ecefc4a")>
2023-04-02 00:07:04,622 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="212563f2613a7646441b5ca63ecefc4a")>
2023-04-02 00:07:04,622 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="212563f2613a7646441b5ca63ecefc4a")>
2023-04-02 00:07:04,622 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="212563f2613a7646441b5ca63ecefc4a")>
2023-04-02 00:07:04,622 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
2023-04-02 00:07:04,635 INFO [root] [base_page.py | base_input:36] - 正在对[name:username]输入框进行清空
2023-04-02 00:07:04,670 INFO [root] [base_page.py | base_input:38] - 正在对[name:username]输入框输入内容：admin
2023-04-02 00:07:04,742 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:password]
2023-04-02 00:07:04,761 INFO [root] [base_page.py | base_input:36] - 正在对[name:password]输入框进行清空
2023-04-02 00:07:04,801 INFO [root] [base_page.py | base_input:38] - 正在对[name:password]输入框输入内容：admin@123
2023-04-02 00:07:04,868 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:vertify]
2023-04-02 00:07:04,879 INFO [root] [base_page.py | base_input:36] - 正在对[name:vertify]输入框进行清空
2023-04-02 00:07:04,912 INFO [root] [base_page.py | base_input:38] - 正在对[name:vertify]输入框输入内容：8888
2023-04-02 00:07:04,959 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://span/input[@value='登录']]元素
2023-04-02 00:07:04,959 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://span/input[@value='登录']]
2023-04-02 00:07:05,718 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://a[text()='商城']]元素
